month,handle,revenue,hold,taxes
2018-06-01,309695659,24630915,8,1895011
2018-07-01,294006820,8433994,2.9,926804
2018-08-01,359275692,23625881,6.6,2524419
2018-09-01,817681310,95358434,11.7,12601788
2018-10-01,854014077,45832391,5.4,6074191
2018-11-01,996071884,54349323,5.5,7058942
2018-12-01,990933059,82266923,8.3,12201908
2019-01-01,1002092655,43052327,4.3,7135878
2019-02-01,881756490,51972715,5.9,5041316
2019-03-01,1095788218,79875460,7.3,11542553
2019-04-01,731628959,52524099,7.2,7780626
2019-05-01,724074602,32939800,4.5,5038779
2019-06-01,685786299,34150011,5,4869605
2019-07-01,581017296,37075760,6.4,5350184
2019-08-01,750692735,62738953,8.4,8497512
2019-09-01,1381692847,143317497,10.4,21997081
2019-10-01,1559104891,155108642,9.9,23220176
2019-11-01,1877044887,113770997,6.1,19249292
2019-12-01,1870346374,114143414,6.1,18148286
2020-01-01,1800052757,139845880,7.8,24858061
2020-02-01,1731395665,84328330,4.9,10634734
2020-03-01,612379377,35297033,5.8,7151661
2020-04-01,167875839,9762318,5.8,2025900
2020-05-01,315226816,25350115,8,4339001
2020-06-01,447471765,29732415,6.6,5699888
2020-07-01,906977542,72384321,8,10866939
2020-08-01,2191669452,129761682,5.9,19745669
2020-09-01,2875270552,156615169,5.4,20863416
2020-10-01,3276726385,291317909,8.9,46900875
2020-11-01,3484288518,309007013,8.9,53754125
2020-12-01,3797269693,277472250,7.3,46329005
2021-01-01,4370440098,378653248,8.7,55417153
2021-02-01,4013657606,225993459,5.6,30692489
2021-03-01,4629130324,357366025,7.7,46381462
2021-04-01,3703934150,283202902,7.6,41732212
2021-05-01,3714799742,273387615,7.4,40363886
2021-06-01,3676060695,335906085,9.1,50689152
2021-07-01,2799391495,268126230,9.6,38126424
2021-08-01,3071879791,224622673,7.3,29598472
2021-09-01,5491749708,450808836,8.2,52366841
2021-10-01,7546972781,448627693,5.9,56146177
2021-11-01,7405646041,725367326,9.8,101420325
2021-12-01,7339244974,381002482,5.2,40068033
2022-01-01,9749393395,637441784,6.5,131554847
2022-02-01,7939395270,391967457,4.9,70915510
2022-03-01,9262257730,623923142,6.7,120549765
2022-04-01,7476187515,527088608,7.1,112004846
2022-05-01,6686988033,610261607,9.1,122984238
2022-06-01,5480948489,334079739,6.1,71299355
2022-07-01,4533090868,407128610,9,85644033
2022-08-01,4909529483,526908745,10.7,110576780
2022-09-01,7919599327,934400945,11.8,176729464
2022-10-01,9684589668,843131862,8.7,172043122
2022-11-01,10020250695,800112609,8,175219566
2022-12-01,10053933644,954902919,9.5,176139568
2023-01-01,11474863670,1061830383,9.3,190052480
2023-02-01,9009612531,707276780,7.9,134673908
2023-03-01,11262697288,1079620125,9.6,205446785
2023-04-01,9162332943,862206926,9.4,172940481
2023-05-01,8140809203,919734850,11.3,185055197
2023-06-01,6610624444,547709702,8.3,114414622
2023-07-01,5902003690,619030431,10.5,129111032
2023-08-01,6678643742,620785324,9.3,122162426
2023-09-01,11598842407,1117302550,9.6,209507804
2023-10-01,12806208659,1227579982,9.6,236934330
2023-11-01,14477354433,936201635,6.5,181298109
2023-12-01,13971146821,1355957544,9.7,268173133
2024-01-01,13880824567,1504421360,10.8,297566999
2024-02-01,11323276215,898442155,7.9,175489818
2024-03-01,13930823259,1092063382,7.8,212205924
2024-04-01,12083129736,1183188973,9.8,239812847
2024-05-01,11057448008,1160025779,10.5,247830324
2024-06-01,9109577307,859741058,9.4,179284857
2024-07-01,7927335499,882255548,11.1,186627331
2024-08-01,9086723197,801579184,8.8,165720216
2024-09-01,14014232437,1573726618,11.2,317470619
2024-10-01,15217866072,1084054885,7.1,229939013
2024-11-01,16250176658,1725253643,10.6,368895104
2024-12-01,15788474672,932860666,5.9,212749577
2025-01-01,15787851641,1681235226,10.6,380892032
2025-02-01,12521625296,1231658993,9.8,265362261
2025-03-01,15541110957,1012065320,6.5,222104895
2025-04-01,13178037660,1222056271,9.3,271858881
2025-05-01,12803723748,1426001459,11.1,330970799
2025-06-01,10005164424,1232916801,12.3,288193890
2025-07-01,7471301223,816625751,10.9,187413700
2025-08-01,6005154775,646482435,10.8,170590780
