market,handle,revenue,hold,taxes
New York,74943314880,6733773065,9,3429602256
New Jersey,65983301847,5179582686,7.8,734060602
Illinois,51920449124,4390287742,8.5,933633072
Nevada,49994352733,2948800000,5.9,199044000
Pennsylvania,40248096569,3443195968,8.6,833759648
Arizona,26761373921,2319223401,8.7,138753855
Colorado,25462689771,1861198633,7.3,116504582
Virginia,24747646256,2462525831,10,305268179
Indiana,23445759611,2112268814,9,200692127
Michigan,22448865439,2052243994,9.1,101612206
Ohio,21815927545,2354036903,10.8,419098903
Tennessee,19883080780,1967172806,9.9,356810909
Massachusetts,16918335173,1635477903,9.7,317573140
Maryland,15457382250,1771976844,11.5,193668517
Iowa,12088690215,930546756,7.7,62843768
Louisiana,11241771146,1354206097,12,182735602
North Carolina,9653423585,998860385,10.3,171542223
Connecticut,7256003742,762469613,10.5,82015842
Kansas,6920333310,632233547,9.1,35674282
Kentucky,5073177258,564652042,11.1,78205864
New Hampshire,3951479110,347437127,8.8,155984948
Oregon,3195750802,346153580,10.8,173076790
Mississippi,3158630115,345815073,10.9,41497809
West Virginia,3074125114,287235757,9.3,69835720
Rhode Island,2661613487,230440872,8.7,117524845
District of Columbia,1656778555,193670211,11.7,50530364
Arkansas,1597458844,148385714,9.3,22045028
Delaware,964105825,145356752,15.1,86741643
Maine,944333641,102040743,10.8,10445750
Wyoming,686557659,72222735,10.5,4303911
Vermont,341894038,37240813,10.9,10662174
Montana,284708729,37642299,13.2,5502856
Nebraska,112228588,10638099,9.5,2186097
South Dakota,33738158,3333501,9.9,300015
Florida,NA,NA,NA,NA
New Mexico,NA,NA,NA,NA
North Dakota,NA,NA,NA,NA
Washintgon,NA,NA,NA,NA
Wisconsin,NA,NA,NA,NA
Total,554927377821,48782346307,8.8,9643737525
